date,open,high,low,close,volume
1552298400000,3870.1,3890,3870.1,3890,0.05
1552302000000,3875.3,3907.7,3875.3,3907.7,1.5392347999999998
1552305600000,3870,3870,3870,3870,0.1
1552309200000,3866.9,3866.9,3865.5,3865.5,0.549
1552312800000,3867.9,3868,3857.3,3860.1,5.09725637
1552316400000,3860.1,3860.1,3860.1,3860.1,0.14524727999999998
1552320000000,3850,3853.5,3850,3853.5,0.88467276
1552334400000,3869.7,3869.9,3869.7,3869.9,0.0133237
1552338000000,3864.1,3864.1,3864.1,3864.1,0.27494194
1552341600000,3864.1,3864.1,3864.1,3864.1,5.806e-05
1552345200000,3866.1,3866.1,3866.1,3866.1,0.03881432
1552348800000,3866.1,3866.1,3866.1,3866.1,0.21118568
1552352400000,3845.1,3847.1,3839.3,3839.3,1.2
1552356000000,3833.5,3833.5,3821.9,3821.9,1.70598673
1552359600000,3823.9,3829.7,3823.9,3829.7,0.2
1552363200000,3827.7,3829.7,3821.9,3829.7,0.7
1552366800000,3835.5,3842.8,3835.5,3839.3,1.87139216
1552370400000,3841.3,3846.6,3840.5,3846.6,4.03433086
1552374000000,3846.6,3846.6,3846.1,3846.1,0.16685195
1552377600000,3847.8,3880.3,3847.8,3880.3,1.8469762600000001
1552381200000,3880.3,3883.6,3876.7,3881.3,1.78962091
1552384800000,3882.7,3897,3882.7,3891,2.73514043
1552388400000,3891,3894.6,3889.8,3889.8,2.68600073
1552392000000,3887.5,3898.8,3887.5,3898.8,14.43310633
1552395600000,3898.8,3900.7,3885.1,3885.1,1.26154086
1552399200000,3890.1,3892.5,3890.1,3892.5,0.7289181
1552406400000,3881.8,3881.8,3878,3878.6,7.26337509
1552424400000,3887.3,3889,3881.3,3881.3,4.184
1552435200000,3885.9,3886.5,3885.9,3886.5,0.94098291
1552438800000,3886.5,3886.5,3874.8,3874.8,2.26836739
1552442400000,3874.8,3876.3,3874.8,3876.3,0.2279267
1552446000000,3877.2,3886,3877.2,3886,1.26
1552449600000,3889.1,3889.1,3882.1,3882.1,3.49127441
1552453200000,3873.7,3873.7,3873.7,3873.7,0.001
1552464000000,3877.9,3877.9,3877.9,3877.9,0.001
1552467600000,3871.9,3871.9,3871.9,3871.9,0.1
1552471200000,3861.8,3861.8,3846.1,3846.1,0.201
1552478400000,3856.2,3865.7,3856.2,3865.7,0.13891008
1552489200000,3865,3865,3861.9,3861.9,0.5483461199999999
1552518000000,3863.1,3863.1,3863.1,3863.1,0.01374138
1552521600000,3873.6,3876.3,3863.4,3875.7,7.08058018
1552525200000,3876.9,3876.9,3870.1,3870.1,0.39062248
1552528800000,3871.8,3871.8,3871.8,3871.8,0.007984
1552532400000,3870.1,3870.1,3870.1,3870.1,0.17141419000000002
1552536000000,3873.9,3874.3,3870.4,3874.1,0.71275237
1552539600000,3870.1,3870.1,3870.1,3870.1,0.05796333
1552550400000,3858.7,3858.7,3858.7,3858.7,0.01023312
1552554000000,3864.6,3864.6,3864.6,3864.6,0.0342
1552557600000,3867,3869.4,3867,3869.4,0.12579728
